orient,distractor,kappa,subject,resp,respRT,acc,traj
47,0,100,2,NaN,0,NaN,0
143,1,5000,2,153,2.423917055,10,50
84,0,50,2,NaN,0,NaN,0
104,0,100,2,106,1.882484913,2,-19
161,1,50,2,NaN,0,NaN,0
140,0,5000,2,137,1.670809031,-3,44
8,0.15,5000,2,NaN,0,NaN,0
169,1,100,2,119,1.77671504,-50,104
18,1,100,2,NaN,0,NaN,0
34,1,5000,2,20,2.553184986,-14,-100
82,0,50,2,NaN,0,NaN,0
91,0.15,5000,2,23,1.694725037,-68,-8
57,1,50,2,NaN,0,NaN,0
136,0.15,100,2,130,1.82403779,-6,56
148,1,5000,2,NaN,0,NaN,0
91,1,50,2,11.5,2.259013176,-79.5,-12.5
62,0.15,50,2,NaN,0,NaN,0
156,1,50,2,30,2.553149939,54,29
86,1,5000,2,NaN,0,NaN,0
100,0.15,100,2,77,2.153171062,-23,-102
98,0.15,5000,2,NaN,0,NaN,0
33,0.15,5000,2,100,2.164885044,67,-78
104,0,50,2,NaN,0,NaN,0
159,1,50,2,151,2.541486979,-8,3
172,0,100,2,NaN,0,NaN,0
147,0.15,50,2,75.5,2.353170156,-71.5,-91.5
111,1,50,2,NaN,0,NaN,0
90,0.15,50,2,172,1.682577133,82,54
11,0,50,2,NaN,0,NaN,0
50,0.15,50,2,49.5,2.541753054,-0.5,-35.5
141,0,5000,2,NaN,0,NaN,0
78,0.15,5000,2,11.5,1.718140125,-66.5,-39.5
81,1,100,2,NaN,0,NaN,0
173,0,5000,2,67.5,2.541393995,74.5,-63.5
178,1,5000,2,NaN,0,NaN,0
103,0,5000,2,14,2.317893028,-89,-141
134,0,5000,2,NaN,0,NaN,0
140,0,5000,2,137,1.436079025,-3,110
135,0,5000,2,NaN,0,NaN,0
87,1,5000,2,114,2.553081989,27,28
42,1,5000,2,NaN,0,NaN,0
177,0,50,2,47,2.494334936,50,43
149,0,100,2,NaN,0,NaN,0
180,0.15,100,2,50,2.470805883,50,29
87,1,100,2,NaN,0,NaN,0
9,0,50,2,50.5,1.553179979,41.5,-13.5
112,0,100,2,NaN,0,NaN,0
77,0,50,2,25,1.317854881,-52,-13
144,0.15,5000,2,NaN,0,NaN,0
108,1,50,2,70,2.506096125,-38,-96
163,0.15,50,2,NaN,0,NaN,0
43,0.15,5000,2,60.5,2.364887953,17.5,-59.5
149,0.15,5000,2,35.5,2.541426182,66.5,-42.5
102,0,100,2,NaN,0,NaN,0
16,1,5000,2,103,2.541465998,87,-3
94,0.15,50,2,NaN,0,NaN,0
70,0,5000,2,34,2.517820835,-36,-36
38,0,50,2,NaN,0,NaN,0
150,0.15,100,2,111,2.047605038,-39,-60
90,1,5000,2,NaN,0,NaN,0
149,0,5000,2,26.5,2.541306973,57.5,21.5
41,0,50,2,NaN,0,NaN,0
57,1,5000,2,57,2.517996073,0,51
124,0,50,2,NaN,0,NaN,0
38,1,5000,2,131,2.471148968,-87,124
154,0.15,100,2,NaN,0,NaN,0
28,1,5000,2,173,2.012392044,-35,34
28,1,5000,2,NaN,0,NaN,0
50,0.15,5000,2,57,2.506051064,7,-89
46,1,100,2,NaN,0,NaN,0
87,0,100,2,11,2.341621876,-76,-106
140,0.15,5000,2,45.5,2.541800022,85.5,-29.5
89,0,5000,2,NaN,0,NaN,0
170,1,50,2,127,1.965228796,-43,100
141,0.15,100,2,NaN,0,NaN,0
157,0,100,2,118.5,2.553545952,-38.5,32.5
180,0,50,2,NaN,0,NaN,0
69,1,50,2,55.5,2.423694134,-13.5,51.5
9,0,50,2,NaN,0,NaN,0
70,0.15,50,2,60.5,2.223729134,-9.5,39.5
38,1,100,2,NaN,0,NaN,0
86,0.15,100,2,49.5,1.541393042,-36.5,-14.5
109,1,50,2,NaN,0,NaN,0
35,1,100,2,18.5,2.353148937,-16.5,-19.5
64,0.15,100,2,17,2.376832962,-47,-38
5,0.15,5000,2,NaN,0,NaN,0
147,0.15,100,2,5,2.541510105,38,-55
86,1,50,2,111.5,1.906096935,25.5,-8.5
85,0,100,2,94,2.541420937,9,16
41,1,5000,2,NaN,0,NaN,0
145,0.15,5000,2,115,1.98881793,-30,9
136,0,100,2,NaN,0,NaN,0
160,0.15,100,2,24.5,2.188807011,44.5,-45.5
154,0.15,100,2,NaN,0,NaN,0
152,0,5000,2,126.5,2.023691893,-25.5,-44.5
83,0,5000,2,NaN,0,NaN,0
22,1,50,2,50.5,2.54136014,28.5,45.5
137,0,100,2,NaN,0,NaN,0
5,0.15,50,2,62,2.035912991,57,56
10,0,100,2,NaN,0,NaN,0
124,0,50,2,94,2.482596874,-30,87
47,0.15,5000,2,NaN,0,NaN,0
82,0,50,2,124,2.541389942,42,-15
27,0.15,100,2,NaN,0,NaN,0
32,0.15,100,2,81.5,2.141388893,49.5,-64.5
157,1,100,2,NaN,0,NaN,0
132,0.15,50,2,55,2.541552067,-77,-62
128,1,5000,2,NaN,0,NaN,0
125,1,50,2,NaN,0,NaN,0
139,0,100,2,154.5,2.553101063,15.5,127.5
14,1,50,2,NaN,0,NaN,0
141,0,5000,2,114.5,2.129580975,-26.5,28.5
151,0,5000,2,NaN,0,NaN,0
139,0.15,5000,2,84,2.012375116,-55,80
114,0,5000,2,NaN,0,NaN,0
144,1,100,2,73,2.165174961,-71,52
14,0.15,5000,2,NaN,0,NaN,0
49,0.15,5000,2,40,1.800228834,-9,-24
9,0,50,2,NaN,0,NaN,0
56,0.15,5000,2,33,0.941411018,-23,-5
92,0.15,100,2,NaN,0,NaN,0
116,1,5000,2,54,1.706071854,-62,-112
175,0,100,2,NaN,0,NaN,0
98,0.15,100,2,60.5,1.859049082,-37.5,-59.5
22,0.15,100,2,NaN,0,NaN,0
124,0.15,50,2,81,2.223744154,-43,-22
24,0.15,50,2,NaN,0,NaN,0
51,0.15,100,2,124,2.341400862,73,90
157,1,5000,2,NaN,0,NaN,0
79,1,5000,2,66,2.059076071,-13,-41
9,0.15,50,2,NaN,0,NaN,0
65,0.15,5000,2,169.5,2.153168917,-75.5,111.5
120,0.15,5000,2,NaN,0,NaN,0
28,0.15,50,2,175.5,2.541381836,-32.5,119.5
172,0,5000,2,NaN,0,NaN,0
16,0.15,50,2,10,2.082590103,-6,-82
98,0,100,2,NaN,0,NaN,0
177,1,50,2,2,1.964871883,5,1
32,0.15,100,2,NaN,0,NaN,0
64,0.15,5000,2,155,1.800621986,-89,72
31,0,100,2,NaN,0,NaN,0
25,0.15,100,2,149.5,2.22372818,-55.5,129.5
127,1,5000,2,NaN,0,NaN,0
165,1,5000,2,NaN,0,NaN,0
57,0,5000,2,NaN,0,NaN,0
103,1,100,2,133,1.224123001,30,106
52,0.15,50,2,NaN,0,NaN,0
169,0.15,5000,2,124,1.330014944,-45,38
112,1,100,2,NaN,0,NaN,0
77,0.15,100,2,63.5,2.294337034,-13.5,59.5
18,0,50,2,NaN,0,NaN,0
9,1,50,2,53,1.02385211,44,32
8,1,100,2,NaN,0,NaN,0
9,1,50,2,54.5,2.553277016,45.5,-9.5
146,0.15,5000,2,NaN,0,NaN,0
5,0.15,100,2,30.5,1.15327096,25.5,-7.5
101,0,100,2,NaN,0,NaN,0
92,0.15,50,2,44,2.411982059,-48,-122
73,1,100,2,NaN,0,NaN,0
103,1,50,2,64,1.247292995,-39,-56
12,0,100,2,NaN,0,NaN,0
107,0.15,5000,2,73,2.541596889,-34,-30
148,0.15,50,2,NaN,0,NaN,0
136,1,50,2,116,1.682801962,-20,82
153,0,100,2,NaN,0,NaN,0
6,1,5000,2,61,1.741715908,55,-46
107,0.15,5000,2,NaN,0,NaN,0
4,0,100,2,167,1.965306044,-17,109
144,1,5000,2,NaN,0,NaN,0
165,1,50,2,179.5,2.541368961,14.5,123.5
5,0.15,50,2,NaN,0,NaN,0
56,0.15,100,2,180,2.553159952,-56,88
60,0.15,50,2,NaN,0,NaN,0
132,1,5000,2,8.5,1.117878199,56.5,7.5
140,0,5000,2,NaN,0,NaN,0
112,1,100,2,131,1.576962233,19,48
55,0,50,2,NaN,0,NaN,0
152,0.15,5000,2,148,1.18857789,-4,128
104,0,5000,2,NaN,0,NaN,0
45,0,100,2,120,2.09435606,75,45
7,1,5000,2,NaN,0,NaN,0
52,1,100,2,135,1.482587814,83,108
140,0.15,5000,2,NaN,0,NaN,0
133,0.15,5000,2,124,2.176652908,-9,38
164,0.15,50,2,NaN,0,NaN,0
79,0.15,100,2,68,1.364946127,-11,64
92,0,5000,2,NaN,0,NaN,0
93,1,100,2,71,1.223752975,-22,50
128,0,5000,2,NaN,0,NaN,0
147,0,5000,2,43,2.459012032,76,-21
165,0,50,2,NaN,0,NaN,0
19,1,100,2,22,1.400222063,3,-16
61,1,5000,2,NaN,0,NaN,0
25,0.15,50,2,62,1.43552804,37,-104
12,1,5000,2,NaN,0,NaN,0
61,0,50,2,57.5,2.353128195,-3.5,-62.5
166,1,100,2,NaN,0,NaN,0
75,0.15,100,2,73,1.012260914,-2,-30
39,0.15,100,2,76,0.894346952,37,-30
72,0,100,2,NaN,0,NaN,0
55,1,5000,2,27.5,1.953145027,-27.5,-42.5
80,1,50,2,NaN,0,NaN,0
21,0.15,100,2,108.5,2.541718006,87.5,-62.5
27,1,5000,2,NaN,0,NaN,0
177,1,100,2,72.5,2.541419983,75.5,67.5
39,0,50,2,NaN,0,NaN,0
